,Title,Event Number,Report Count,Event Date,Newsroom,Description,Detailed Description,Short Introduction,Risk to Human Rights,instances with privacy violations,privacy sensitivity,privacy violations severity,instances with injustice to rights,Severity of injustice,instances involving vulnerable groups,emotional and psychological harm,vulnerable groups affected,cases where harm is reversible,affected by challenges to self-identity and values,Severity of emotional and psychological harm,instances where the harm persists,Physical harm,Severity of Physical harm ,instances where the physical harm persists,cases where the physical harm is reversible,instances where the harm is easily detectable,Economic loss,instances where economic losses persist,the severity of economic impact,extent of impact is fixed,affected individuals,affected local population,global implications,Whether humans can be replaced,Whether there is a law to regulate,AI-based specificity,cases affected by untimely data training and maintenance,cases affected by opaque and recurring weak capacities,cases affected due to limitations of traditional supervisory methods,lifecycle time period-planning and design,lifecycle time period-collection and processing data,lifecycle time period-building usage model,lifecycle time period-verification and verification,lifecycle time period-deployment ,lifecycle time period-Operation and Monitoring,lifecycle time period-End User Use and Impact,Geographical Attributes-Timeliness,Geographical Attributes-Accuracy,Data Production Process -Acquisition,Data Production Process-Preprocessing,Data Production Process-Integration,Data Production Process-Storage and Management,Data Production Process-Analysis and Processing,Data Production Process-Application Communication
0,仓库机器人打破熊喷雾罐并伤害工人,2个,17,2018-12-05,肖恩麦格雷戈,描述：新泽西州的 24 名亚马逊员工因机器人刺破仓库中的一罐防熊喷雾剂而住院。,2018 年 12 月 5 日，一个机器人在新泽西州罗宾斯维尔的亚马逊运营中心刺穿了一罐防熊喷雾。亚马逊的发言人表示，“一台自动机器刺穿了一罐 9 盎司的熊驱虫剂。”被刺破的罐头会释放辣椒素，这是一种刺激物，进入空气中。数十名工人暴露在烟雾中，导致呼吸困难以及眼睛和喉咙有灼烧感等症状。 24名工人住院，1人被送往重症监护室并插管。,新泽西州的 24 名亚马逊员工在一个机器人刺穿仓库中的一罐防熊喷雾剂后住院。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,True,False,True,True,True,Routine or Significant Potential Damage,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True
1,机动特性增强系统 (MCAS) 发生碰撞,3个,19,2018-10-27,肖恩麦格雷戈,描述：一架波音 737 坠入大海，造成 189 人遇难，原因是传感器数据错误导致自动操纵系统反复将飞机机头向下推。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,True,False,False,False,Unsustainable Potential Damage,True,True,Unsustainable Potential Damage,True,False,True,True,True,Unsustainable Potential Damage,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True,False,False,True,False
2,Uber AV 在亚利桑那州撞死行人,4个,25,2018-03-18,肖恩·麦格雷戈，柯林,描述：在亚利桑那州坦佩，一辆处于自动驾驶模式的优步自动驾驶汽车 (AV) 撞死了一名行人。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,True,False,True,True,True,Unsustainable Potential Damage,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,False
3,优步自动驾驶汽车闯红灯,8个,10,2014-08-15,肖恩麦格雷戈,描述：配备自动驾驶闯红灯技术的优步车辆在旧金山街头进行测试。,在加利福尼亚州旧金山街头的试点项目中，Uber 的自动驾驶汽车曾两次闯红灯。目击者克里斯托弗·科夫 (Christoper Koff) 报告说，他看到启用人工智能的沃尔沃 XC90 SUV 在红灯变红三秒后通过了红灯，而行人正在人行横道上。没有受伤或碰撞。优步否认这是系统错误的说法，理由是人为操作失误并暂停了司机的工作。两名优步员工向纽约时报报告称，故障出在人工智能系统上。,配备自动驾驶闯红灯技术的优步车辆在旧金山街头进行测试。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,False,False,Potential hazard with zero or negligible risk,True,False,True,False,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,False,True,False
4,特斯拉 Autopilot 涉及的撞车事故合集,20,22,2016-06-30,肖恩麦格雷戈,描述：在使用特斯拉的自动驾驶仪时，发生了多起无关的车祸，造成了不同程度的伤害。,在使用特斯拉的自动驾驶模式时，发生了多起不相关的车祸，造成不同程度的伤害。自动驾驶汽车的驾驶能力从完全人为控制到完全自主，允许系统控制速度、方向、加速、减速和变道。在大多数情况下，驾驶员会在碰撞前收到警告，提醒人类驾驶员需要进行干预。,在使用特斯拉的自动驾驶仪时，发生了多起无关的车祸，造成了不同程度的伤害。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,True,True,True,False,Routine or Significant Potential Damage,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,False,True,False
5,Waze 引导驾车者进入野火,22,22,2017-12-06,肖恩麦格雷戈,描述：Waze 是 Google 旗下的一款导航应用程序，它在加州司机试图撤离该地区时将其引导到 2017 年的 Skirball 野火中。,2017 年 12 月下旬，谷歌旗下的导航应用程序 Waze 将司机送往受洛杉矶 Skirball 野火影响的地区。该应用程序会查看当前的交通模式，并建议避免严重拥堵的路线。在针对这些火灾实施的大规模疏散的情况下，疏散路线上出现拥堵，导致该应用程序将司机引向空旷的道路。这些道路空无一人，因为该地区着火且无法通行。 Waze/谷歌工程师通常与交通部门合作改变交通模式以增强其方向，但是在快速发展的紧急情况下，该应用程序无法提供安全的驾驶方向。,Waze 是谷歌旗下的一款导航应用程序，它在加州司机试图撤离该地区时将他们带入了 2017 年发生的 Skirball 野火。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,True,False,True,False,some potential damage,False,True,Routine or Significant Potential Damage,False,True,True,True,False,some potential damage,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True
6,拉斯维加斯自驾巴士卷入事故,23,24,2017-11-08,肖恩·麦格雷戈，柯林,描述：Keolis North America 和 Navya 的自动驾驶公共班车在服务的第一天在内华达州拉斯维加斯与一辆人力驾驶的送货卡车相撞。,拉斯维加斯的一辆自动驾驶班车在首次发布后几个小时就与车上的乘客发生了碰撞。由 Keolis North America 公司开发的 Navya Arma 模型穿梭车由一辆人力驾驶的运货卡车送入。自动驾驶穿梭车准确地检测到后备卡车并停止前进，但没有倒退以避免碰撞。送货卡车司机被罚单。,由 Keolis North America 开发的自动驾驶公共班车在内华达州拉斯维加斯与一辆人力驾驶的送货卡车发生碰撞。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,False,Routine or Significant Potential Damage,True,True,False,False,True,False,True,False,False,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False
7,两辆自动驾驶汽车之间的碰撞,25,11,2015-05-11,肖恩麦格雷戈,描述：据称谷歌自动驾驶汽车在路试中与德尔福自动驾驶汽车发生碰撞，但德尔福汽车感应到并避免与谷歌汽车相撞。,一辆谷歌自动驾驶汽车在加利福尼亚州硅谷与一辆德尔福自动驾驶汽车相撞。德尔福发言人首先在两辆车都按其应有的方式行事的情况下报告了这起事故。德尔福汽车感应到谷歌汽车接近它打算并入的车道，因此终止了德尔福汽车的车道变换，直到安全为止。谷歌同意这一说法。德尔福后来修改了他们的声明，称“车辆甚至没有那么靠近彼此”。,据称，一辆谷歌自动驾驶汽车在路试中与德尔福自动驾驶汽车发生碰撞，但德尔福汽车感应到并避免了与谷歌汽车的碰撞。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,False,True,True,False,some potential damage,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False
8,德里的无人驾驶火车因制动失灵而坠毁,31,29,2017-12-03,肖恩麦格雷戈,描述：印度德里的一列无人驾驶地铁列车在试运行期间因刹车失灵而坠毁。,印度德里的一列无人驾驶地铁列车在试运行期间因刹车失灵而坠毁。这列火车由 Huandai Rotem 开发，由德里地铁公司管理，在向公众开放前六天进行了测试，当时它未能在轨道尽头停下来，穿过一堵墙。没有人受伤。 DMRC 解雇了四名员工，因为他们在测试前忽略了检查制动系统。,印度德里的一列无人驾驶地铁列车在试运行期间因刹车失灵而坠毁。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,True,False,False,False,serious potential Damage,True,True,serious potential Damage,True,False,True,True,False,Unsustainable Potential Damage,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False
9,特斯拉自动驾驶仪在佛罗里达州看电影时撞死司机,52,29,2016-07-01,肖恩麦格雷戈,描述：一辆自动驾驶的特斯拉 Model S 在佛罗里达州威利斯顿的 US 27A 高速公路上撞上一辆白色铰接式拖拉机拖车，导致司机死亡。,一辆自动驾驶的特斯拉 Model S 在佛罗里达州威利斯顿的 US 27A 高速公路上撞上一辆铰接式拖拉机拖车，司机约书亚·布朗 (Joshua Brown) 丧生。拖车在迎面驶来的特斯拉前方左转，特斯拉自动驾驶系统在明亮的天空下无法检测到白色拖车。巡航控制设置为 74 英里/小时，并且在碰撞前没有减速。在 37 分钟的行程中，司机将手放在方向盘上 25 秒，并且在碰撞发生时正在看哈利波特电影。碰撞前，司机收到 6 次声音警告，称他的手离开方向盘时间过长。,一辆自动驾驶的特斯拉 Model S 在佛罗里达州威利斯顿的 US 27A 高速公路上撞上一辆白色铰接式拖拉机拖车，导致司机死亡。,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,True,False,True,True,True,Unsustainable Potential Damage,True,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False
